problem_id,slug,title,difficulty,acceptance,problem_url,source_keys,source_count,concepts,imported_at
74,search-a-2d-matrix,Search a 2D Matrix,Medium,,https://leetcode.com/problems/search-a-2d-matrix/,neetcode-150,1,Binary Search,2026-05-25
76,minimum-window-substring,Minimum Window Substring,Hard,47.5%,https://leetcode.com/problems/minimum-window-substring/,blind-curated-75;coding-plan-deep-work;classic-3-topics-array-string;neetcode-150,4,Sliding Window,2026-05-25
78,subsets,Subsets,Medium,,https://leetcode.com/problems/subsets/,coding-plan-deep-work;neetcode-150,2,Backtracking,2026-05-25
79,word-search,Word Search,Medium,47.3%,https://leetcode.com/problems/word-search/,blind-curated-75;coding-plan-deep-work;google-thirty-days;neetcode-150,4,Backtracking,2026-05-25
81,search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,Medium,,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,coding-plan-deep-work,1,,2026-05-17
82,remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,Medium,51.8%,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,meta-thirty-days,1,,2026-05-17
84,largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,,https://leetcode.com/problems/largest-rectangle-in-histogram/,coding-plan-deep-work;neetcode-150,2,Stack,2026-05-25
85,maximal-rectangle,Maximal Rectangle,Hard,,https://leetcode.com/problems/maximal-rectangle/,coding-plan-deep-work;classic-3-topics-dp,2,,2026-05-17
88,merge-sorted-array,Merge Sorted Array,Easy,54.8%,https://leetcode.com/problems/merge-sorted-array/,google-thirty-days,1,,2026-05-17
90,subsets-ii,Subsets II,Medium,,https://leetcode.com/problems/subsets-ii/,neetcode-150,1,Backtracking,2026-05-25
91,decode-ways,Decode Ways,Medium,38.0%,https://leetcode.com/problems/decode-ways/,blind-curated-75;coding-plan-deep-work;classic-3-topics-dp;neetcode-150,4,1-D Dynamic Programming,2026-05-25
93,restore-ip-addresses,Restore IP Addresses,Medium,56.0%,https://leetcode.com/problems/restore-ip-addresses/,coding-plan-deep-work;licc-bonus-backtracking,2,,2026-05-17
97,interleaving-string,Interleaving String,Medium,,https://leetcode.com/problems/interleaving-string/,coding-plan-deep-work;neetcode-150,2,2-D Dynamic Programming,2026-05-25
98,validate-binary-search-tree,Validate Binary Search Tree,Medium,35.7%,https://leetcode.com/problems/validate-binary-search-tree/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Trees,2026-05-25
100,same-tree,Same Tree,Easy,67.1%,https://leetcode.com/problems/same-tree/,blind-curated-75;google-thirty-days;neetcode-150,3,Trees,2026-05-25
102,binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,72.7%,https://leetcode.com/problems/binary-tree-level-order-traversal/,blind-curated-75;neetcode-150,2,Trees,2026-05-25
104,maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,78.2%,https://leetcode.com/problems/maximum-depth-of-binary-tree/,blind-curated-75;neetcode-150,2,Trees,2026-05-25
105,construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,68.8%,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,blind-curated-75;coding-plan-deep-work;google-thirty-days;neetcode-150,4,Trees,2026-05-25
109,convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,66.6%,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,google-thirty-days,1,,2026-05-17
110,balanced-binary-tree,Balanced Binary Tree,Easy,,https://leetcode.com/problems/balanced-binary-tree/,neetcode-150,1,Trees,2026-05-25
113,path-sum-ii,Path Sum II,Medium,,https://leetcode.com/problems/path-sum-ii/,coding-plan-deep-work,1,,2026-05-17
115,distinct-subsequences,Distinct Subsequences,Hard,,https://leetcode.com/problems/distinct-subsequences/,neetcode-150,1,2-D Dynamic Programming,2026-05-25
118,pascals-triangle,Pascal's Triangle,Easy,78.9%,https://leetcode.com/problems/pascals-triangle/,google-thirty-days;licc-bonus-dp,2,,2026-05-17
121,best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,blind-curated-75;google-thirty-days;classic-3-topics-array-string;neetcode-150,4,Sliding Window,2026-05-25
124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.3%,https://leetcode.com/problems/binary-tree-maximum-path-sum/,blind-curated-75;coding-plan-deep-work;classic-3-topics-graph-tree;neetcode-150,4,Trees,2026-05-25
125,valid-palindrome,Valid Palindrome,Easy,53.3%,https://leetcode.com/problems/valid-palindrome/,blind-curated-75;neetcode-150,2,Two Pointers,2026-05-25
126,word-ladder-ii,Word Ladder II,Hard,27.7%,https://leetcode.com/problems/word-ladder-ii/,coding-plan-deep-work;google-thirty-days,2,,2026-05-17
127,word-ladder,Word Ladder,Hard,,https://leetcode.com/problems/word-ladder/,coding-plan-deep-work;classic-3-topics-graph-tree;neetcode-150,3,Graphs,2026-05-25
128,longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,https://leetcode.com/problems/longest-consecutive-sequence/,blind-curated-75;google-thirty-days;neetcode-150,3,Arrays & Hashing,2026-05-25
129,sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,,https://leetcode.com/problems/sum-root-to-leaf-numbers/,coding-plan-deep-work,1,,2026-05-17
130,surrounded-regions,Surrounded Regions,Medium,,https://leetcode.com/problems/surrounded-regions/,coding-plan-deep-work;neetcode-150,2,Graphs,2026-05-25
131,palindrome-partitioning,Palindrome Partitioning,Medium,74.0%,https://leetcode.com/problems/palindrome-partitioning/,coding-plan-deep-work;licc-bonus-backtracking;neetcode-150,3,Backtracking,2026-05-25
133,clone-graph,Clone Graph,Medium,65.3%,https://leetcode.com/problems/clone-graph/,blind-curated-75;coding-plan-deep-work;meta-thirty-days;classic-3-topics-graph-tree;neetcode-150,5,Graphs,2026-05-25
134,gas-station,Gas Station,Medium,,https://leetcode.com/problems/gas-station/,coding-plan-deep-work;neetcode-150,2,Greedy,2026-05-25
135,candy,Candy,Hard,,https://leetcode.com/problems/candy/,coding-plan-deep-work,1,,2026-05-17
136,single-number,Single Number,Easy,,https://leetcode.com/problems/single-number/,neetcode-150,1,Bit Manipulation,2026-05-25
138,copy-list-with-random-pointer,Copy List with Random Pointer,Medium,,https://leetcode.com/problems/copy-list-with-random-pointer/,coding-plan-deep-work;neetcode-150,2,Linked List,2026-05-25
139,word-break,Word Break,Medium,49.4%,https://leetcode.com/problems/word-break/,blind-curated-75;coding-plan-deep-work;licc-bonus-dp;classic-3-topics-dp;neetcode-150,5,1-D Dynamic Programming,2026-05-25
140,word-break-ii,Word Break II,Hard,,https://leetcode.com/problems/word-break-ii/,coding-plan-deep-work,1,,2026-05-17
141,linked-list-cycle,Linked List Cycle,Easy,54.3%,https://leetcode.com/problems/linked-list-cycle/,blind-curated-75;neetcode-150,2,Linked List,2026-05-25
