source_key,source_name,source_type,source_url,source_order,problem_id,slug,title,difficulty,acceptance,problem_url,concepts,neetcode_url,neetcode_slug,imported_at
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,45,226,invert-binary-tree,Invert Binary Tree,Easy,,https://leetcode.com/problems/invert-binary-tree/,Trees,https://neetcode.io/problems/invert-a-binary-tree/question?list=neetcode150,invert-a-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,46,104,maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Trees,https://neetcode.io/problems/depth-of-binary-tree/question?list=neetcode150,depth-of-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,47,543,diameter-of-binary-tree,Diameter of Binary Tree,Easy,,https://leetcode.com/problems/diameter-of-binary-tree/,Trees,https://neetcode.io/problems/binary-tree-diameter/question?list=neetcode150,binary-tree-diameter,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,48,110,balanced-binary-tree,Balanced Binary Tree,Easy,,https://leetcode.com/problems/balanced-binary-tree/,Trees,https://neetcode.io/problems/balanced-binary-tree/question?list=neetcode150,balanced-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,49,100,same-tree,Same Tree,Easy,,https://leetcode.com/problems/same-tree/,Trees,https://neetcode.io/problems/same-binary-tree/question?list=neetcode150,same-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,50,572,subtree-of-another-tree,Subtree of Another Tree,Easy,,https://leetcode.com/problems/subtree-of-another-tree/,Trees,https://neetcode.io/problems/subtree-of-a-binary-tree/question?list=neetcode150,subtree-of-a-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,51,235,lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Trees,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree/question?list=neetcode150,lowest-common-ancestor-in-binary-search-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,52,102,binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,,https://leetcode.com/problems/binary-tree-level-order-traversal/,Trees,https://neetcode.io/problems/level-order-traversal-of-binary-tree/question?list=neetcode150,level-order-traversal-of-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,53,199,binary-tree-right-side-view,Binary Tree Right Side View,Medium,,https://leetcode.com/problems/binary-tree-right-side-view/,Trees,https://neetcode.io/problems/binary-tree-right-side-view/question?list=neetcode150,binary-tree-right-side-view,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,54,1448,count-good-nodes-in-binary-tree,Count Good Nodes In Binary Tree,Medium,,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Trees,https://neetcode.io/problems/count-good-nodes-in-binary-tree/question?list=neetcode150,count-good-nodes-in-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,55,98,validate-binary-search-tree,Validate Binary Search Tree,Medium,,https://leetcode.com/problems/validate-binary-search-tree/,Trees,https://neetcode.io/problems/valid-binary-search-tree/question?list=neetcode150,valid-binary-search-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,56,230,kth-smallest-element-in-a-bst,Kth Smallest Element In a Bst,Medium,,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Trees,https://neetcode.io/problems/kth-smallest-integer-in-bst/question?list=neetcode150,kth-smallest-integer-in-bst,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,57,105,construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree From Preorder And Inorder Traversal,Medium,,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Trees,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal/question?list=neetcode150,binary-tree-from-preorder-and-inorder-traversal,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,58,124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Trees,https://neetcode.io/problems/binary-tree-maximum-path-sum/question?list=neetcode150,binary-tree-maximum-path-sum,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,59,297,serialize-and-deserialize-binary-tree,Serialize And Deserialize Binary Tree,Hard,,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Trees,https://neetcode.io/problems/serialize-and-deserialize-binary-tree/question?list=neetcode150,serialize-and-deserialize-binary-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,60,703,kth-largest-element-in-a-stream,Kth Largest Element In a Stream,Easy,,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Heap / Priority Queue,https://neetcode.io/problems/kth-largest-integer-in-a-stream/question?list=neetcode150,kth-largest-integer-in-a-stream,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,61,1046,last-stone-weight,Last Stone Weight,Easy,,https://leetcode.com/problems/last-stone-weight/,Heap / Priority Queue,https://neetcode.io/problems/last-stone-weight/question?list=neetcode150,last-stone-weight,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,62,973,k-closest-points-to-origin,K Closest Points to Origin,Medium,,https://leetcode.com/problems/k-closest-points-to-origin/,Heap / Priority Queue,https://neetcode.io/problems/k-closest-points-to-origin/question?list=neetcode150,k-closest-points-to-origin,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,63,215,kth-largest-element-in-an-array,Kth Largest Element In An Array,Medium,,https://leetcode.com/problems/kth-largest-element-in-an-array/,Heap / Priority Queue,https://neetcode.io/problems/kth-largest-element-in-an-array/question?list=neetcode150,kth-largest-element-in-an-array,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,64,621,task-scheduler,Task Scheduler,Medium,,https://leetcode.com/problems/task-scheduler/,Heap / Priority Queue,https://neetcode.io/problems/task-scheduling/question?list=neetcode150,task-scheduling,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,65,355,design-twitter,Design Twitter,Medium,,https://leetcode.com/problems/design-twitter/,Heap / Priority Queue,https://neetcode.io/problems/design-twitter-feed/question?list=neetcode150,design-twitter-feed,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,66,295,find-median-from-data-stream,Find Median From Data Stream,Hard,,https://leetcode.com/problems/find-median-from-data-stream/,Heap / Priority Queue,https://neetcode.io/problems/find-median-in-a-data-stream/question?list=neetcode150,find-median-in-a-data-stream,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,67,78,subsets,Subsets,Medium,,https://leetcode.com/problems/subsets/,Backtracking,https://neetcode.io/problems/subsets/question?list=neetcode150,subsets,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,68,39,combination-sum,Combination Sum,Medium,,https://leetcode.com/problems/combination-sum/,Backtracking,https://neetcode.io/problems/combination-target-sum/question?list=neetcode150,combination-target-sum,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,69,40,combination-sum-ii,Combination Sum II,Medium,,https://leetcode.com/problems/combination-sum-ii/,Backtracking,https://neetcode.io/problems/combination-target-sum-ii/question?list=neetcode150,combination-target-sum-ii,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,70,46,permutations,Permutations,Medium,,https://leetcode.com/problems/permutations/,Backtracking,https://neetcode.io/problems/permutations/question?list=neetcode150,permutations,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,71,90,subsets-ii,Subsets II,Medium,,https://leetcode.com/problems/subsets-ii/,Backtracking,https://neetcode.io/problems/subsets-ii/question?list=neetcode150,subsets-ii,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,72,22,generate-parentheses,Generate Parentheses,Medium,,https://leetcode.com/problems/generate-parentheses/,Backtracking,https://neetcode.io/problems/generate-parentheses/question?list=neetcode150,generate-parentheses,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,73,79,word-search,Word Search,Medium,,https://leetcode.com/problems/word-search/,Backtracking,https://neetcode.io/problems/search-for-word/question?list=neetcode150,search-for-word,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,74,131,palindrome-partitioning,Palindrome Partitioning,Medium,,https://leetcode.com/problems/palindrome-partitioning/,Backtracking,https://neetcode.io/problems/palindrome-partitioning/question?list=neetcode150,palindrome-partitioning,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,75,17,letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Backtracking,https://neetcode.io/problems/combinations-of-a-phone-number/question?list=neetcode150,combinations-of-a-phone-number,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,76,51,n-queens,N Queens,Hard,,https://leetcode.com/problems/n-queens/,Backtracking,https://neetcode.io/problems/n-queens/question?list=neetcode150,n-queens,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,77,208,implement-trie-prefix-tree,Implement Trie Prefix Tree,Medium,,https://leetcode.com/problems/implement-trie-prefix-tree/,Tries,https://neetcode.io/problems/implement-prefix-tree/question?list=neetcode150,implement-prefix-tree,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,78,211,design-add-and-search-words-data-structure,Design Add And Search Words Data Structure,Medium,,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Tries,https://neetcode.io/problems/design-word-search-data-structure/question?list=neetcode150,design-word-search-data-structure,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,79,212,word-search-ii,Word Search II,Hard,,https://leetcode.com/problems/word-search-ii/,Tries,https://neetcode.io/problems/search-for-word-ii/question?list=neetcode150,search-for-word-ii,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,80,200,number-of-islands,Number of Islands,Medium,,https://leetcode.com/problems/number-of-islands/,Graphs,https://neetcode.io/problems/count-number-of-islands/question?list=neetcode150,count-number-of-islands,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,81,695,max-area-of-island,Max Area of Island,Medium,,https://leetcode.com/problems/max-area-of-island/,Graphs,https://neetcode.io/problems/max-area-of-island/question?list=neetcode150,max-area-of-island,2026-05-25
neetcode-150,NeetCode 150,neetcode-list,https://neetcode.io/practice/practice/neetcode150,82,133,clone-graph,Clone Graph,Medium,,https://leetcode.com/problems/clone-graph/,Graphs,https://neetcode.io/problems/clone-graph/question?list=neetcode150,clone-graph,2026-05-25
